IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
19314,Donovan Walton,SFG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,2,0,0,1,3,2,2,7,1,0,0,0,0
13853,Joey Wendle,NYM,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,7,1,0,0,3,1,1,9,0,0,0,1,0
22530,Johnathan Rodriguez,CLE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,3,1,0,0,6,5,9,14,0,0,0,0,0
19422,Brian Serven,TOR,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10,6,4,0,0,6,3,5,22,2,0,1,0,0
24655,Owen Miller,MIL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,4,1,0,0,2,3,0,8,0,0,0,0,0
18551,Ali Sanchez,MIA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,14,12,2,0,0,5,4,4,24,1,1,6,2,1
19384,Trenton Brooks,SFG,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,0,0,0,3,1,4,6,0,0,0,1,0
18333,Alex Young,- - -,17,0,0,0,0,0,0,1,0,15.2,15,5,2,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25477,Isaac Collins,MIL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,0,0,0,0,0,2,10,0,0,0,1,0
25138,Levi Jordan,CIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,1,1,0,3,0,1,0,0,0
10323,Rafael Ortega,CHW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,4,1,2,4,0,1,0,2,0
18054,Sam Haggerty,SEA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,1,1,1,4,0,0,0,1,0
26374,Kameron Misner,TBR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,10,0,0,0,0,0
19458,Cooper Hummel,HOU,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0
20450,Brewer Hicklen,MIL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0
14477,Jake Cave,COL,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,81,53,16,5,7,42,37,18,98,1,3,1,5,2
17901,Andrew Benintendi,CHW,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,109,69,20,0,20,50,64,41,96,1,3,0,3,2
22197,MJ Melendez,KCR,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,85,42,23,3,17,44,44,35,113,3,0,0,4,4
20325,Alex Kirilloff,MIN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,32,16,8,3,5,20,20,15,47,1,3,0,0,0
21780,Esteury Ruiz,OAK,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,6,2,1,2,10,8,4,20,2,2,2,5,4
13663,Jack Lopez,LAA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,17,13,3,0,1,4,6,2,25,1,0,1,0,1
19864,Riley Adams,WSN,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,26,18,5,1,2,10,8,10,35,2,2,0,1,0
20536,Vidal Brujan,MIA,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,55,37,14,2,2,32,16,25,54,4,0,1,5,6
19610,Keibert Ruiz,WSN,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,105,71,21,0,13,46,57,16,54,5,5,0,3,1
